
################################
#Benchmark pattern info:
################################
./posixGlibcIO_sleep
################################
#Fixed dim and values:
################################
nbCharOutput, 500000000 ,nbIteration, 40
################################
#Variable dim:
################################
computeTime,nbIoDevice
################################
#Result dim:
################################
Iterations, Iteration + wait
################################
#Number of tries:
################################
2
################################
#Data:
################################
9.91892033561e-07, 1.8703218822e-06
0.0001, 1
1.14424410096e-06, 1.70714484299e-06
0.0001, 1
1.18834608527e-06, 1.81339046683e-06
0.0003, 1
1.0676671563e-06, 1.63698272593e-06
0.0003, 1
1.18834605478e-06, 1.86470900836e-06
0.0006, 1
8.11475161022e-07, 1.02156062761e-06
0.0006, 1
8.0706492657e-07, 1.70153181737e-06
0.0008, 1
1.15627187651e-06, 1.51510104762e-06
0.0008, 1
8.639964958e-07, 8.96070611654e-07
1, 1
9.19725293114e-07, 1.46338156925e-06
1, 1
8.48761304381e-07, 1.54597240893e-06
2, 1
4.86323782407e-07, 7.64165811432e-07
2, 1
9.76656839482e-07, 1.61212526747e-06
3, 1
7.92631608683e-07, 1.63056790719e-06
3, 1
8.35129803586e-07, 1.66063737228e-06
4, 1
9.11706761408e-07, 1.13662650334e-06
4, 1
6.07002649583e-07, 1.17270987452e-06
5, 1
7.03625927817e-07, 1.04040414968e-06
5, 1
8.03055690489e-07, 1.52632701632e-06
0.00000001, 2
8.52369664686e-07, 1.24968779155e-06
0.00000001, 2
1.02075841618e-06, 1.72077577465e-06
0.0000001, 2
1.08410527666e-06, 1.64700609339e-06
0.0000001, 2
1.10896257919e-06, 1.42248706832e-06
0.0000002, 2
9.65831843838e-07, 1.21681180824e-06
0.0000002, 2
8.4114367173e-07, 1.2408673327e-06
0.0000004, 2
7.59755643645e-07, 9.52200344938e-07
0.0000004, 2
7.66972293499e-07, 1.16068206465e-06
0.0000006, 2
9.53403106356e-07, 1.57764559441e-06
0.0000006, 2
1.08771339239e-06, 1.56962695584e-06
0.0000008, 2
6.6914628116e-07, 5.2962386903e-07
0.0000008, 2
8.7682617589e-07, 1.56922617852e-06
0.000001, 2
8.25106582361e-07, 1.52071392949e-06
0.000001, 2
9.55407762755e-07, 1.79053758643e-06
0.000002, 2
1.01875439642e-06, 1.69030638934e-06
0.000002, 2
9.30149381377e-07, 1.36314995547e-06
0.000004, 2
1.01634855588e-06, 1.40604906725e-06
0.000004, 2
9.90288424246e-07, 1.82662107727e-06
0.000006, 2
9.96703150943e-07, 1.00231612122e-06
0.000006, 2
9.64228106682e-07, 1.6806836687e-06
0.000008, 2
9.00881763706e-07, 1.11257093649e-06
0.000008, 2
6.06601674246e-07, 1.08931708455e-06
0.00001, 2
6.00186917451e-07, 9.99108749691e-07
0.00001, 2
8.27913159944e-07, 9.39771644992e-07
0.00003, 2
9.10103072733e-07, 1.04561621748e-06
0.00003, 2
6.27850791902e-07, 1.16990332744e-06
0.00006, 2
7.58552895587e-07, 6.57118496758e-07
0.00006, 2
7.44520425888e-07, 9.86279077913e-07
0.00008, 2
6.26648098029e-07, 6.92800968262e-07
0.00008, 2
7.1966296465e-07, 7.9383435655e-07
0.0001, 2
8.27913096877e-07, 1.25409790171e-06
0.0001, 2
7.70580722663e-07, 9.47790233285e-07
0.0003, 2
8.08267745105e-07, 1.45215564126e-06
0.0003, 2
8.65600191529e-07, 1.67186326942e-06
0.0006, 2
1.01715041205e-06, 1.61733731266e-06
0.0006, 2
5.90564629264e-07, 1.0404040821e-06
0.0008, 2
5.72122089933e-07, 5.35637780064e-07
0.0008, 2
6.7075000614e-07, 7.32492684529e-07
1, 2
7.38907459081e-07, 1.13261723923e-06
1, 2
6.79570342994e-07, 1.09853848956e-06
2, 2
6.76763856445e-07, 1.155470044e-06
2, 2
1.22483030603e-06, 2.03510266232e-06
3, 2
6.68344396865e-07, 1.01233929339e-06
3, 2
8.72415957158e-07, 1.52352051342e-06
4, 2
9.89887427909e-07, 1.04240879407e-06
4, 2
1.01274021944e-06, 1.78412271437e-06
5, 2
7.99447363607e-07, 1.19275622203e-06
5, 2
8.16286272686e-07, 2.35023090888e-06
0.00000001, 3
8.31120488397e-07, 1.6093186881e-06
0.00000001, 3
1.18032757272e-06, 1.68950420905e-06
0.0000001, 3
1.27414426454e-06, 1.38319625949e-06
0.0000001, 3
1.06285607119e-06, 1.66665133457e-06
0.0000002, 3
8.64397491907e-07, 5.48066498811e-07
0.0000002, 3
1.23926373426e-06, 2.00783978686e-06
0.0000004, 3
9.71444744182e-07, 1.52352044073e-06
0.0000004, 3
8.43148346525e-07, 1.04040416511e-06
0.0000006, 3
8.8845300522e-07, 1.06766712676e-06
0.0000006, 3
1.00752819818e-06, 1.92444701601e-06
0.0000008, 3
9.9309480136e-07, 1.18874690595e-06
0.0000008, 3
1.12259402381e-06, 1.43130738036e-06
0.000001, 3
8.96070644346e-07, 1.05964864117e-06
0.000001, 3
7.63764858343e-07, 1.4874370732e-06
0.000002, 3
9.31352112581e-07, 1.56080661829e-06
0.000002, 3
9.07296600582e-07, 1.26532393789e-06
0.000004, 3
9.45384597754e-07, 1.17952565165e-06
0.000004, 3
1.03719674386e-06, 1.821007967e-06
