
################################
#Benchmark pattern info:
################################
./posixGlibcAIO_sleep
################################
#Fixed dim and values:
################################
nbCharOutput, 500000000 ,nbIteration, 40
################################
#Variable dim:
################################
computeTime,nbIoDevice
################################
#Result dim:
################################
Iterations, Iteration + wait
################################
#Number of tries:
################################
2
################################
#Data:
################################
9.72647680242e-07, 9.04089249359e-06
0.0001, 1
1.04802178677e-06, 1.10880223929e-05
0.0001, 1
8.22300095739e-07, 8.83641838619e-06
0.0003, 1
1.22442922101e-06, 1.90107270376e-05
0.0003, 1
8.30719523999e-07, 8.63675674999e-06
0.0006, 1
8.98876860019e-07, 7.69137095566e-06
0.0006, 1
1.09573194111e-06, 1.10423158148e-05
0.0008, 1
1.15667278441e-06, 1.19844931964e-05
0.0008, 1
1.11978749835e-06, 1.08538801129e-05
1, 1
5.66108112356e-07, 4.66277432486e-06
1, 1
7.09639799599e-07, 6.42203972315e-06
2, 1
8.33927004832e-07, 8.12477440044e-06
2, 1
1.32385912336e-06, 1.55659692502e-05
3, 1
1.07247827035e-06, 1.04541573455e-05
3, 1
6.1421932795e-07, 5.58089624351e-06
4, 1
8.8123634791e-07, 7.67533605296e-06
4, 1
9.34960483123e-07, 1.33143665026e-05
5, 1
8.02253837256e-07, 1.03539257107e-05
5, 1
5.39326267156e-06, 9.50476346675e-06
0.00000001, 2
9.7665675647e-07, 8.95749805133e-06
0.00000001, 2
1.24808399511e-06, 8.76345003701e-06
0.0000001, 2
1.23324968138e-06, 1.01466459481e-05
0.0000001, 2
1.3783850354e-06, 9.81748527107e-06
0.0000002, 2
9.73048413628e-07, 9.05452219752e-06
0.0000002, 2
1.00913183524e-06, 1.27735161982e-05
0.0000004, 2
1.02597071587e-06, 1.11152841449e-05
0.0000004, 2
1.24287198334e-06, 1.24170929664e-05
0.0000006, 2
9.04089111257e-07, 1.00764840946e-05
0.0000006, 2
7.95037141297e-07, 6.25806088679e-06
0.0000008, 2
1.01594757281e-06, 7.11604320042e-06
0.0000008, 2
8.05060303078e-07, 5.46382560276e-06
0.000001, 2
1.35152297874e-06, 1.5094879902e-05
0.000001, 2
1.36515448103e-06, 1.09677433136e-05
0.000002, 2
1.2360561951e-06, 1.2284786855e-05
0.000002, 2
1.15988009922e-06, 9.77097749676e-06
0.000004, 2
1.01073552112e-06, 8.43348738073e-06
0.000004, 2
1.53995838245e-06, 1.91077522909e-05
0.000006, 2
9.34158589398e-07, 7.99687863697e-06
0.000006, 2
1.20277926445e-06, 1.09917987714e-05
0.000008, 2
1.30942572197e-06, 9.89927449512e-06
0.000008, 2
8.77227048191e-07, 8.06463531735e-06
0.00001, 2
7.55746308739e-07, 7.09519492083e-06
0.00001, 2
1.37678135732e-06, 1.41779613101e-05
0.00003, 2
9.01282598748e-07, 8.01291548869e-06
0.00003, 2
9.91891959991e-07, 9.71444712635e-06
0.00006, 2
1.02556978698e-06, 7.93513574037e-06
0.00006, 2
1.17070515073e-06, 1.29591447216e-05
0.00008, 2
3.02298513679e-06, 9.19123796562e-06
0.00008, 2
8.80835366717e-07, 7.36100925486e-06
0.0001, 2
7.22068464828e-07, 6.06481380758e-06
0.0001, 2
1.16829958424e-06, 1.35653453785e-05
0.0003, 2
9.16517824132e-07, 1.03190445133e-05
0.0003, 2
9.77057748307e-07, 9.46467060496e-06
0.0006, 2
1.15266341925e-06, 1.2946715525e-05
0.0006, 2
7.52939823169e-07, 6.29614855328e-06
0.0008, 2
8.79632537348e-07, 7.01340564076e-06
0.0008, 2
8.30719537654e-07, 1.05924759579e-05
1, 2
9.87882690258e-07, 1.10804033728e-05
1, 2
7.99848227215e-07, 1.27125752324e-05
2, 2
9.16517850221e-07, 7.39188084188e-06
2, 2
1.22803771763e-06, 1.12139128182e-05
3, 2
1.43692038965e-06, 1.29399011094e-05
3, 2
7.88221396781e-07, 8.77708179976e-06
4, 2
1.08731253702e-06, 1.15671290581e-05
4, 2
8.92061362551e-07, 1.00973327712e-05
5, 2
1.05122916353e-06, 1.24547803071e-05
5, 2
1.01474485781e-06, 9.78861940076e-06
0.00000001, 3
9.63426193144e-07, 8.2959695333e-06
0.00000001, 3
1.60611119424e-06, 8.89054311838e-06
0.0000001, 3
1.10695791008e-06, 1.09521076529e-05
0.0000001, 3
1.24006537193e-06, 1.11597864946e-05
0.0000002, 3
7.64165735451e-07, 1.11080670863e-05
0.0000002, 3
7.18861104271e-07, 5.03603699428e-06
0.0000004, 3
1.06365775654e-06, 1.14348220408e-05
0.0000004, 3
1.15546995876e-06, 1.23284875891e-05
0.0000006, 3
1.07648752541e-06, 1.10771969608e-05
0.0000006, 3
1.02877716742e-06, 8.21498213577e-06
0.0000008, 3
8.75623272574e-07, 9.38849366936e-06
0.0000008, 3
8.57180720406e-07, 8.84283347488e-06
0.000001, 3
6.4909984125e-07, 7.12205656576e-06
0.000001, 3
